case_id,item_code,unit_id,level,level_num,condition,model,model_display,status,natural_label,natural_support,probe_label,probe_support,natural_sufficiency,explicit_sufficiency,natural_evidence_bridge_status,explicit_bridge,natural_confidence,stimulus_chars,stimulus_sha256,natural_margin_1_9,natural_margin_1_9_exact_available,natural_margin_1_9_censor_type,probe_margin_1_9,probe_margin_1_9_exact_available,probe_margin_1_9_censor_type,natural_probe_label_match,natural_candidate_coverage_count,natural_candidate_coverage_complete,probe_candidate_coverage_count,probe_candidate_coverage_complete
CASE_015,A1,UNIT_001,B0,0,no-link,deepseek,DeepSeek,ok,9,0,9,0,insufficient,0,none,0,0.7,588,7a0b04ffed0f597e4e5bac6c3e32546e49b6e58f193e3d117d80e19e483b5738,-6.4731272349,True,,-8.08859648733,True,,True,3,True,3,True
CASE_015,A1,UNIT_001,B1,1,placebo,deepseek,DeepSeek,ok,9,0,9,0,insufficient,0,none,0,0.8,625,7b32106fe6b0d031d4889d5c022197b710360fc4f45d3a196fc3f646ca351703,-5.716296584499999,True,,-8.445183492830001,True,,True,3,True,3,True
CASE_015,A1,UNIT_001,B2,2,weak-link,deepseek,DeepSeek,ok,1,1,1,1,sufficient,1,corroborated,1,0.8,647,63dcf363b79d2de2b221797719ff6816516c798971007cfbd2546d8b024d173e,3.043054825,True,,6.435612267,True,,True,3,True,3,True
CASE_015,A1,UNIT_001,B3,3,explicit-link,deepseek,DeepSeek,ok,1,1,1,1,sufficient,1,corroborated,1,0.9,691,9f2efe4c933dbb95b6a7ae2fcdc411830a9249c7fa55c127fdca7f56764c6f7b,13.84715604632614,True,,23.536655,True,,True,3,True,3,True
CASE_015,A1,UNIT_001,B4,4,corroborated-link,deepseek,DeepSeek,ok,1,1,1,1,sufficient,1,corroborated,1,0.9,744,cf7fbd25ff4e1ce54cca35a68b93898de5caf61347b75504b3baa0a50bab0f00,14.6920126423722,True,,19.696209,True,,True,3,True,3,True
CASE_015,A2,UNIT_002,B0,0,no-link,deepseek,DeepSeek,ok,1,1,1,1,sufficient,1,explicit,1,0.9,641,23653b009f73c16095ece310d2076032e4e16f3e6fd8765101cb6c8843f2afda,1.9584055300000003,True,,9.76623510945,True,,True,3,True,3,True
CASE_015,A2,UNIT_002,B1,1,placebo,deepseek,DeepSeek,ok,9,0,1,1,insufficient,0,none,0,0.6,682,3b835db3abe2c105de3ee623f79d50149f06646685d4b0a33f8d4ec9b4403eab,-0.43449399999999994,True,,5.943374728299999,True,,False,3,True,3,True
CASE_015,A2,UNIT_002,B2,2,weak-link,deepseek,DeepSeek,ok,9,0,9,0,insufficient,0,none,0,0.7,690,a5b859d7c857719dc4752e99db1ad6fc9a3b30765a30ded73ca502f43db10028,-11.496462556600001,True,,-6.0776195775,True,,True,3,True,3,True
CASE_015,A2,UNIT_002,B3,3,explicit-link,deepseek,DeepSeek,ok,1,1,1,1,sufficient,1,explicit,1,0.95,643,09d819f861e59d1bfc09cc6c5fa8471e223c6497e352786ca97d94cedb3b4947,22.733955,True,,28.62307,True,,True,3,True,3,True
CASE_015,A2,UNIT_002,B4,4,corroborated-link,deepseek,DeepSeek,ok,1,1,1,1,sufficient,1,corroborated,1,0.95,682,c57289f83930f881dcec450bbf999b36f50e766bf8185a5768f288e55c9238ed,24.362913,True,,31.203032,True,,True,3,True,3,True
CASE_015,A4,UNIT_003,B0,0,no-link,deepseek,DeepSeek,ok,9,0,1,1,insufficient,0,none,0,0.8,633,0fd3b62e484aa7182f81fa1fca5866391c9d5a35e90f49a267c61bb0821053fc,-3.973274415,True,,2.7364513300000004,True,,False,3,True,3,True
CASE_015,A4,UNIT_003,B1,1,placebo,deepseek,DeepSeek,ok,9,0,1,1,insufficient,0,none,0,0.8,670,b104d516b69660ace59f62c6e529fa9d542ed6e9f76fdd953768562d5a6d11b1,-3.1260681399999997,True,,3.968516835,True,,False,3,True,3,True
CASE_015,A4,UNIT_003,B2,2,weak-link,deepseek,DeepSeek,ok,9,0,1,1,insufficient,0,none,0,0.7,631,6b432f870ef8232e02d8c7fb59347f17fdb463d82ebbd27d32e8f404026911b9,0.17827173000000007,True,,3.698147382,True,,False,3,True,3,True
CASE_015,A4,UNIT_003,B3,3,explicit-link,deepseek,DeepSeek,ok,1,1,1,1,sufficient,1,corroborated,1,1.0,649,00a45b014864213c44ee499230994968c36d4c480fd3fe526840d906469d8fda,24.617926,True,,33.114597,True,,True,3,True,3,True
CASE_015,A4,UNIT_003,B4,4,corroborated-link,deepseek,DeepSeek,ok,1,1,1,1,sufficient,1,corroborated,1,1.0,655,aed9c19511e150df67498f25f2cda2834a369b0a4e0a313c339ad512ed11c31a,24.505,True,,36.17505,True,,True,3,True,3,True
CASE_015,D2,UNIT_004,B0,0,no-link,deepseek,DeepSeek,ok,9,0,9,0,insufficient,0,none,0,0.9,615,a66fa5063ca6847db7e797adbfa29fd26d24201274748b14487620075e9dc485,-25.301655509457998,True,,-17.99562192,True,,True,3,True,3,True
CASE_015,D2,UNIT_004,B1,1,placebo,deepseek,DeepSeek,ok,9,0,9,0,sufficient,1,none,0,0.9,656,cf9f11138b6c86191538f43b620fe3a9ca7104ac730b7c39fb173b35d8dd7c0b,-23.669255006183,True,,-19.190161442,True,,True,3,True,3,True
CASE_015,D2,UNIT_004,B2,2,weak-link,deepseek,DeepSeek,ok,9,0,9,0,insufficient,0,none,0,0.6,667,9682dde7f945dc555d3a5559115180855306f8a871c7150cb78df8eb97469387,-15.387665847468,True,,-11.207896479742,True,,True,3,True,3,True
CASE_015,D2,UNIT_004,B3,3,explicit-link,deepseek,DeepSeek,ok,1,1,1,1,sufficient,1,explicit,1,0.8,617,389c4471846b5e2a55ccc60fe2f05110d8da63694b95643bdc317bdf662fd158,11.113085787668,True,,12.289843112430999,True,,True,3,True,3,True
CASE_015,D2,UNIT_004,B4,4,corroborated-link,deepseek,DeepSeek,ok,1,1,1,1,sufficient,1,corroborated,1,0.8,658,877e60a68d845008bf80f755994ed468d5a979f701c9371ef51a8b2e8749613d,13.039218854235,True,,23.173338,True,,True,3,True,3,True
CASE_015,E1,UNIT_005,B0,0,no-link,deepseek,DeepSeek,ok,1,1,1,1,sufficient,1,corroborated,1,0.9,630,927bd25afedc8bf38d40e061bfca035d486431da81f1d89e26f188d4d771788c,13.4346333310713,True,,19.576803,True,,True,3,True,3,True
